Expected constant (n/10): 24786.9

Rank	Word	Frequency	Rank*Frequency
796	hold	38	30248
797	gone	38	30286
798	enough	38	30324
799	bjp	38	30362
800	filed	37	29600
801	normal	37	29637
802	khan	37	29674
803	orders	37	29711
804	arrived	37	29748
805	submit	37	29785
806	spread	37	29822
807	file	37	29859
808	industrial	37	29896
809	attacked	37	29933
810	employee	37	29970
811	parts	37	30007
812	trouble	37	30044
813	send	37	30081
814	finance	37	30118
815	dacoits	37	30155
816	fresh	36	29376
817	stopped	36	29412
818	looking	36	29448
819	campaign	36	29484
820	fuel	36	29520
821	head	36	29556
822	towards	36	29592
823	classes	36	29628
824	measures	36	29664
825	conduct	36	29700
826	inspectorgeneral	36	29736
827	treatment	36	29772
828	s	36	29808
829	blood	36	29844
830	raid	36	29880
831	never	36	29916
832	dues	36	29952
833	rules	36	29988
834	ranaghat	35	29190
835	offer	35	29225
836	let	35	29260
837	hope	35	29295
838	plans	35	29330
839	english	35	29365
840	comment	35	29400
841	organisation	35	29435
842	absconding	35	29470
843	fees	35	29505
844	lawyer	35	29540
845	tests	35	29575
846	stations	35	29610
847	activists	35	29645
848	level	35	29680
849	believe	35	29715
850	suspended	35	29750
851	organised	35	29785
852	response	35	29820
853	factory	35	29855
854	beat	35	29890
855	forces	35	29925
856	fake	35	29960
857	necessary	35	29995
858	nursing	34	29172
859	strikes	34	29206
860	below	34	29240
861	setting	34	29274
862	lot	34	29308
863	gandhi	34	29342
864	committed	34	29376
865	prevent	34	29410
866	continue	34	29444
867	movement	34	29478
868	paid	34	29512
869	bag	34	29546
870	victim	34	29580
871	chinsurah	34	29614
872	international	34	29648
873	complained	34	29682
874	asim	34	29716
875	links	34	29750
876	whose	34	29784
877	fell	34	29818
878	aware	34	29852
879	placed	34	29886
880	car	33	29040
881	proposed	33	29073
882	affairs	33	29106
883	hotel	33	29139
884	british	33	29172
885	arrangements	33	29205
886	joined	33	29238
887	raised	33	29271
888	broke	33	29304
889	sskm	33	29337
890	officerincharge	33	29370
891	foreign	33	29403
892	rest	33	29436
893	manager	33	29469
894	trains	33	29502
895	phone	33	29535
896	less	33	29568
897	mayor	33	29601
898	together	33	29634
899	handed	33	29667
900	accept	33	29700
901	residence	33	29733
902	elections	33	29766
903	visited	33	29799
904	institute	33	29832
905	subrata	33	29865
906	sanjoy	33	29898
907	bose	33	29931
908	point	33	29964
909	affected	33	29997
910	identified	32	29120
911	ministry	32	29152
912	bridge	32	29184
913	think	32	29216
914	headmaster	32	29248
915	commissioner	32	29280
916	attack	32	29312
917	informed	32	29344
918	making	32	29376
919	meant	32	29408
920	region	32	29440
921	dragged	32	29472
922	july	32	29504
923	asking	32	29536
924	discuss	32	29568
925	operation	32	29600
926	duo	32	29632
927	produced	32	29664
928	directive	32	29696
929	visvabharati	32	29728
930	ganguly	32	29760
931	alipore	32	29792
932	introduced	32	29824
933	housing	32	29856
934	due	32	29888
935	followed	32	29920
936	nine	32	29952
937	human	32	29984
938	coal	32	30016
939	step	32	30048
940	feel	31	29140
941	steps	31	29171
942	midday	31	29202
943	entered	31	29233
944	river	31	29264
945	sharma	31	29295
946	big	31	29326
947	bengals	31	29357
948	maoist	31	29388
949	weeks	31	29419
950	fir	31	29450
951	haldar	31	29481
952	vehicle	31	29512
953	sons	31	29543
954	neighbouring	31	29574
955	science	31	29605
956	registered	31	29636
957	cut	31	29667
958	almost	31	29698
959	giving	31	29729
960	places	31	29760
961	unions	31	29791
962	main	31	29822
963	hands	31	29853
964	angry	31	29884
965	fear	31	29915
966	studies	31	29946
967	houses	31	29977
968	rain	31	30008
969	directed	30	29070
970	annual	30	29100
971	running	30	29130
972	stand	30	29160
973	works	30	29190
974	shops	30	29220
975	theft	30	29250
976	kabir	30	29280
977	finally	30	29310
978	felt	30	29340
979	parishad	30	29370
980	paying	30	29400
981	hanged	30	29430
982	important	30	29460
983	carry	30	29490
984	small	30	29520
985	wants	30	29550
986	required	30	29580
987	review	30	29610
988	entire	30	29640
989	returning	30	29670
990	form	30	29700
991	test	30	29730
992	released	30	29760
993	alert	30	29790
994	duty	30	29820
995	headquarters	30	29850
996	army	30	29880
997	opposed	30	29910
998	jadavpur	30	29940
999	worth	30	29970
1000	experts	30	30000
1001	coming	30	30030
1002	distribution	29	29058
1003	civic	29	29087
1004	turn	29	29116
1005	role	29	29145
1006	families	29	29174
1007	quality	29	29203
1008	owners	29	29232
1009	ground	29	29261
1010	opened	29	29290
1011	keeping	29	29319
1012	todays	29	29348
1013	sleuths	29	29377
1014	net	29	29406
1015	revealed	29	29435
1016	rifles	29	29464
1017	departments	29	29493
1018	pradhan	29	29522
1019	ran	29	29551
1020	mumbai	29	29580
1021	mishra	29	29609
1022	abdul	29	29638
1023	couple	29	29667
1024	detained	29	29696
1025	looted	29	29725
1026	identify	29	29754
1027	academic	29	29783
1028	side	29	29812
1029	june	29	29841
1030	suci	29	29870
1031	norms	29	29899
1032	fine	28	28896
1033	guilty	28	28924
1034	appeal	28	28952
1035	judiciary	28	28980
1036	waiting	28	29008
1037	arms	28	29036
1038	airport	28	29064
1039	plea	28	29092
1040	attended	28	29120
1041	improve	28	29148
1042	conciliation	28	29176
1043	results	28	29204
1044	approached	28	29232
1045	selected	28	29260
1046	camp	28	29288
1047	receive	28	29316
1048	charged	28	29344
1049	pradesh	28	29372
1050	increasing	28	29400
1051	nothing	28	29428
1052	salary	28	29456
1053	social	28	29484
1054	owner	28	29512
1055	position	28	29540
1056	expressed	28	29568
1057	ganesh	28	29596
1058	code	28	29624
1059	requested	28	29652
1060	mollah	28	29680
1061	history	28	29708
1062	financial	28	29736
1063	offered	28	29764
1064	retired	28	29792
1065	besides	28	29820
1066	webel	28	29848
1067	leaving	28	29876
1068	guard	27	28836
1069	municipality	27	28863
1070	prompted	27	28890
1071	holding	27	28917
1072	saif	27	28944
1073	young	27	28971
1074	asok	27	28998
1075	march	27	29025
1076	rebels	27	29052
1077	communist	27	29079
1078	search	27	29106
1079	introduce	27	29133
1080	pain	27	29160
1081	minutes	27	29187
1082	lives	27	29214
1083	concerned	27	29241
1084	begun	27	29268
1085	orissa	27	29295
1086	bihar	27	29322
1087	comes	27	29349
1088	vicechancellor	27	29376
1089	track	27	29403
1090	string	27	29430
1091	principal	27	29457
1092	widow	27	29484
1093	address	27	29511
1094	barasat	27	29538
1095	sports	27	29565
1096	raids	27	29592
1097	racket	27	29619
1098	amp	27	29646
1099	things	27	29673
1100	discussion	27	29700
1101	immediate	27	29727
1102	flood	27	29754
1103	carrying	27	29781
1104	discussed	27	29808
1105	bolpur	27	29835
1106	friends	27	29862
1107	rabindra	26	28782
1108	married	26	28808
1109	notice	26	28834
1110	punishment	26	28860
1111	agency	26	28886
1112	subject	26	28912
1113	appear	26	28938
1114	decide	26	28964
1115	trial	26	28990
1116	marks	26	29016
1117	biswarup	26	29042
1118	rsp	26	29068
1119	reported	26	29094
1120	failure	26	29120
1121	carried	26	29146
1122	seen	26	29172
1123	question	26	29198
1124	ask	26	29224
1125	organise	26	29250
1126	absence	26	29276
1127	boys	26	29302
1128	available	26	29328
1129	pujas	26	29354
1130	focus	26	29380
1131	deaths	26	29406
1132	light	26	29432
1133	calls	26	29458
1134	stateaided	26	29484
1135	interrogation	26	29510
1136	declared	26	29536
1137	chandra	26	29562
1138	technical	26	29588
1139	final	26	29614
1140	none	26	29640
1141	branch	26	29666
1142	february	26	29692
1143	bongaon	26	29718
1144	iron	26	29744
1145	suffered	26	29770
1146	sikdar	26	29796
1147	battle	25	28675
1148	tea	25	28700
1149	poverty	25	28725
1150	idea	25	28750
1151	scheduled	25	28775
1152	appointed	25	28800
1153	gopal	25	28825
1154	attempt	25	28850
1155	cpi	25	28875
1156	living	25	28900
1157	declined	25	28925
1158	alone	25	28950
1159	war	25	28975
1160	wake	25	29000
1161	birth	25	29025
1162	further	25	29050
1163	ill	25	29075
1164	closed	25	29100
1165	trained	25	29125
1166	similar	25	29150
1167	possibility	25	29175
1168	datta	25	29200
1169	prime	25	29225
1170	varsity	25	29250
1171	agreed	25	29275
1172	programmes	25	29300
1173	ban	25	29325
1174	violence	25	29350
1175	criminals	25	29375
1176	shall	25	29400
1177	shop	25	29425
1178	operators	25	29450
1179	limited	25	29475
1180	assistant	25	29500
1181	provided	25	29525
1182	negligence	25	29550
1183	cash	25	29575
1184	pass	25	29600
1185	environment	25	29625
1186	entrance	25	29650
1187	traders	25	29675
1188	majumdar	25	29700
1189	cbi	25	29725
1190	medicines	25	29750
1191	railways	25	29775
1192	nearby	24	28608
1193	continued	24	28632
1194	critical	24	28656
1195	durga	24	28680
1196	green	24	28704
1197	survey	24	28728
1198	fundamental	24	28752
1199	meals	24	28776
1200	protect	24	28800
1201	film	24	28824
1202	letter	24	28848
1203	existing	24	28872
1204	ahead	24	28896
1205	lack	24	28920
1206	alarm	24	28944
1207	responsible	24	28968
1208	fee	24	28992
1209	allotted	24	29016
1210	request	24	29040
1211	asansol	24	29064
1212	kar	24	29088
1213	herself	24	29112
1214	investment	24	29136
1215	heavy	24	29160
1216	pension	24	29184
1217	nobel	24	29208
1218	rabindranath	24	29232
1219	route	24	29256
1220	regarding	24	29280
1221	santiniketan	24	29304
1222	conducted	24	29328
1223	fact	24	29352
1224	directorgeneral	24	29376
1225	investigations	24	29400
1226	sasthi	24	29424
1227	seized	24	29448
1228	kanti	24	29472
1229	corrupt	24	29496
1230	housewife	24	29520
1231	details	24	29544
1232	prepared	24	29568
1233	short	24	29592
1234	seems	24	29616
1235	learnt	24	29640
1236	adhikary	24	29664
1237	raided	24	29688
1238	calling	24	29712
1239	agencies	24	29736
1240	jewellery	24	29760
1241	functionaries	24	29784
1242	warned	24	29808
1243	result	24	29832
1244	meal	24	29856
1245	headed	24	29880
1246	counsel	23	28658
1247	serious	23	28681
1248	representatives	23	28704
1249	colleagues	23	28727
1250	raise	23	28750
1251	premises	23	28773
1252	township	23	28796
1253	success	23	28819
1254	governor	23	28842
1255	shifted	23	28865
1256	farakka	23	28888
1257	allotment	23	28911
1258	van	23	28934
1259	sunderbans	23	28957
1260	urban	23	28980
1261	launch	23	29003
1262	became	23	29026
1263	launched	23	29049
1264	groups	23	29072
1265	contract	23	29095
1266	candidate	23	29118
1267	notification	23	29141
1268	ransacked	23	29164
1269	view	23	29187
1270	presence	23	29210
1271	develop	23	29233
1272	property	23	29256
1273	militants	23	29279
1274	organisers	23	29302
1275	firm	23	29325
1276	language	23	29348
1277	winter	23	29371
1278	belt	23	29394
1279	confessed	23	29417
1280	particularly	23	29440
1281	smoke	23	29463
1282	permission	23	29486
1283	evidence	23	29509
1284	reforms	23	29532
1285	mark	23	29555
1286	false	23	29578
1287	kali	23	29601
1288	bhavan	23	29624
1289	happy	23	29647
1290	inspector	23	29670
1291	repeatedly	23	29693
1292	digha	23	29716
1293	postgraduate	23	29739
1294	politics	23	29762
1295	research	23	29785
1296	rajarhat	23	29808
1297	peace	23	29831
1298	posted	23	29854
1299	spent	23	29877
1300	kharagpur	23	29900
1301	ashok	23	29923
1302	bed	23	29946
1303	allies	22	28666
1304	advocate	22	28688
1305	mlas	22	28710
1306	pranab	22	28732
1307	whom	22	28754
1308	reach	22	28776
1309	shift	22	28798
1310	wildlife	22	28820
1311	institution	22	28842
1312	conditions	22	28864
1313	check	22	28886
1314	wrong	22	28908
1315	posts	22	28930
1316	transfer	22	28952
1317	seeking	22	28974
1318	initiated	22	28996
1319	farmer	22	29018
1320	truck	22	29040
1321	safe	22	29062
1322	key	22	29084
1323	deal	22	29106
1324	agriculture	22	29128
1325	th	22	29150
1326	upon	22	29172
1327	boards	22	29194
1328	either	22	29216
1329	duley	22	29238
1330	confirmed	22	29260
1331	reportedly	22	29282
1332	share	22	29304
1333	recovered	22	29326
1334	tour	22	29348
1335	brothers	22	29370
1336	inlaws	22	29392
1337	junior	22	29414
1338	granted	22	29436
1339	banerjees	22	29458
1340	include	22	29480
1341	wait	22	29502
1342	islam	22	29524
