Expected constant (n/10): 11352.3

Rank	Word	Frequency	Rank*Frequency
453	চুনি	43	19479
454	অংশে	43	19522
455	আমি	43	19565
456	পরিকল্পনা	43	19608
457	সদস্য	43	19651
458	শেষ	43	19694
459	পাকা	42	19278
460	আয়	42	19320
461	সাফল্যে	42	19362
462	এন	42	19404
463	কুমড়ো	42	19446
464	বিরোধী	42	19488
465	খেজুর	42	19530
466	অভিযোগ	42	19572
467	কাজের	42	19614
468	ভাল	41	19188
469	অ্যাভিনিউয়ে	41	19229
470	হবেন	41	19270
471	পশ্চিমবঙ্গের	41	19311
472	বহু	41	19352
473	সদন	41	19393
474	দুদিকই	41	19434
475	রাজ্য	41	19475
476	ভারতের	41	19516
477	পেঁপে	40	19080
478	দায়িত্ব	40	19120
479	মে	40	19160
480	প্রেমপ্রীতিতে	40	19200
481	অথবা	40	19240
482	৬৫০	40	19280
483	মানসিক	40	19320
484	নানা	40	19360
485	আলোচনা	40	19400
486	পূর্বে	40	19440
487	সরণি	40	19480
488	সোনালি	39	19032
489	ব্যবসা	39	19071
490	এপ্রিল	39	19110
491	এইরূপ	39	19149
492	টোপ্যাজ	39	19188
493	পক্ষে	39	19227
494	খরমুজা	39	19266
495	হলেও	39	19305
496	পরে	39	19344
497	সার্কাস	39	19383
498	দশেরি	39	19422
499	ন্যাসপাতি	39	19461
500	১৩০	38	19000
501	দিকের	38	19038
502	হাজার	38	19076
503	মুখ	38	19114
504	২৮	38	19152
505	উল্লেখ	38	19190
506	৩৫০	38	19228
507	মার্চ	38	19266
508	সুইনহো	38	19304
509	বলা	38	19342
510	লাভ	38	19380
511	চৌসা	38	19418
512	সম্মেলনে	37	18944
513	গৃহীত	37	18981
514	দেশপ্রাণ	37	19018
515	শাসমল	37	19055
516	উদ্বাস্তু	37	19092
517	জুন	37	19129
518	রোগ	37	19166
519	খাদ্য	37	19203
520	ইস্টার্ন	37	19240
521	তিনটি	37	19277
522	পশ্চিম	36	18792
523	যোগেশচন্দ্র	36	18828
524	সাধারণ	36	18864
525	বৃদ্ধির	36	18900
526	ক্যারেজওয়ের	36	18936
527	দেন	36	18972
528	ক্ষেত্রে	36	19008
529	প্রশ্নপত্র	36	19044
530	শান্তি	36	19080
531	থাকায়	35	18585
532	গোলাপজাম	35	18620
533	কর্তৃক	35	18655
534	অনুরোধ	35	18690
535	মধ্যশিক্ষা	35	18725
536	প্রতি	35	18760
537	কই	35	18795
538	করিবেন	35	18830
539	তারাতলা	35	18865
540	উপস্থিত	35	18900
541	ভারত	35	18935
542	করুন	34	18428
543	পুলিশের	34	18462
544	বিশ্ববিদ্যালয়ের	34	18496
545	সভাপতি	34	18530
546	সরকারী	33	18018
547	অন্য	33	18051
548	সমস্ত	33	18084
549	বৈষয়িক	33	18117
550	৬০০	33	18150
551	কমিটির	33	18183
552	সকাল	33	18216
553	অন্যান্য	33	18249
554	উপলক্ষে	33	18282
555	ভেজাল	33	18315
556	তদন্ত	32	17792
557	গৃহে	32	17824
558	আশানুরূপ	32	17856
559	রক্তপ্রবাল	32	17888
560	নারকেল	32	17920
561	আবশ্যক	32	17952
562	নিজের	32	17984
563	ভারতীয়	32	18016
564	কর	32	18048
565	পরীক্ষায়	32	18080
566	প্রভৃতি	32	18112
567	মুখোপাধ্যায়	32	18144
568	ট্রাফিক	32	18176
569	৩৮০	31	17639
570	সুখ	31	17670
571	২৬০	31	17701
572	গুরুজনের	31	17732
573	এইদিন	31	17763
574	অবস্থা	31	17794
575	আগামী	31	17825
576	হইবার	31	17856
577	২২	31	17887
578	কালো	31	17918
579	অবস্থায়	31	17949
580	অর্থকরী	31	17980
581	সংবাদ	31	18011
582	এমন	31	18042
583	কমিটি	31	18073
584	সাময়িক	31	18104
585	ছাত্র	31	18135
586	খেলা	31	18166
587	করিতেছেন	30	17610
588	লক্ষ	30	17640
589	অর্থ	30	17670
590	দ্বারা	30	17700
591	কালোজাম	30	17730
592	পক্ষের	30	17760
593	সম্পত্তি	30	17790
594	তাঁহাকে	30	17820
595	একই	30	17850
596	শিয়ালদহ	30	17880
597	হাসপাতালে	30	17910
598	অনুষ্ঠিত	30	17940
599	ছাড়াও	30	17970
600	ফোন	30	18000
601	সিদ্ধান্ত	29	17429
602	ঘোষণা	29	17458
603	উচিত	29	17487
604	অঞ্চলে	29	17516
605	স্থানে	29	17545
606	এফ	29	17574
607	কলকাতা	29	17603
608	বর্তমান	29	17632
609	হয়ে	29	17661
610	কেউ	29	17690
611	কাঁকরোল	29	17719
612	নেই	28	17136
613	সাহায্য	28	17164
614	সমিতির	28	17192
615	বৈশাখ	28	17220
616	যোগাযোগ	28	17248
617	রবিবার	28	17276
618	করিলে	28	17304
619	ইহা	28	17332
620	১১	28	17360
621	অপরাহ্নে	28	17388
622	চিতলপেটি	28	17416
623	লাল	28	17444
624	আষাঢ়	28	17472
625	ভট্টাচার্য	28	17500
626	২১	28	17528
627	অবসান	28	17556
628	এম	28	17584
629	উড়ালপুলের	28	17612
630	যানজট	28	17640
631	আশুতোষ	28	17668
632	দুইটি	28	17696
633	রক্ষা	28	17724
634	থানার	28	17752
635	ক্লাবের	28	17780
636	প্রস্তাবে	28	17808
637	সভা	28	17836
638	নেহরু	27	17226
639	কর্মে	27	17253
640	তিন	27	17280
641	ভুল	27	17307
642	মার্চ১৯৫৪	27	17334
643	লোক	27	17361
644	প্রচুর	27	17388
645	আসতে	27	17415
646	সে	27	17442
647	খোলা	27	17469
648	ক্ষতি	27	17496
649	যাদবপুর	27	17523
650	মহাত্মা	27	17550
651	অধ্যাপক	27	17577
652	দত্ত	26	16952
653	অযথা	26	16978
654	সঞ্চয়	26	17004
655	জ্যৈষ্ঠ	26	17030
656	থাকলেও	26	17056
657	অনুষ্ঠান	26	17082
658	অ্যাভিনিউয়েও	26	17108
659	স্বীকৃতি	26	17134
660	পাবেন	26	17160
661	দূরে	26	17186
662	যাহাতে	26	17212
663	বিধান	26	17238
664	পক্ষ	26	17264
665	বিশ্ববিদ্যালয়	26	17290
666	ডায়মণ্ডহারবার	26	17316
667	দেয়	26	17342
668	দমদম	26	17368
669	ব্যাপারে	26	17394
670	ব্যক্তি	26	17420
671	কেন্দ্রীয়	26	17446
672	বাড়তে	26	17472
673	নীতি	26	17498
674	বিবাহ	25	16850
675	শুক্র	25	16875
676	উন্নতি	25	16900
677	কুল	25	16925
678	প্রধান	25	16950
679	সতর্কতা	25	16975
680	বেলা	25	17000
681	চৈত্র	25	17025
682	এরূপ	25	17050
683	এর	25	17075
684	ধরে	25	17100
685	পথে	25	17125
686	তো	25	17150
687	তা	25	17175
688	বিধানচন্দ্র	25	17200
689	শ্রাবণ	25	17225
690	সাউথ	25	17250
691	দূর	25	17275
692	ট্রেণ	25	17300
693	২৬	24	16632
694	কমলা	24	16656
695	অনুযায়ী	24	16680
